PS,MG,TS,ID_low,ID_high,CR,SM,HM,PM,SC,MS,CR_low,CR_high,PC,MeanPrecision
589,266,309,6,13,0.01343856,0.951492378,0.006600313,0.028136016,0.000999,0.996452119,-685.6536328,533.7910842,6.57E-10,0.764519972
881,223,374,3,9,0.020816282,0.959199673,0.012380234,0.007443238,0.000628,0.998907593,-76.72305003,991.0318755,6.08E-10,0.726193218
540,269,331,5,11,0.011408535,0.970176044,0.006611235,0.011182691,0.000719,0.994708587,-37.64766823,910.5527627,5.48E-10,0.786019536
999,254,289,6,9,0.010900542,0.954824699,0.014413326,0.019675301,0.000849,0.998994976,-663.9431037,303.4917147,1.34E-10,0.865275447
789,272,475,3,10,0.01192186,0.950722111,0.013361146,0.023531995,0.000858,0.996488228,-947.517146,788.3795328,9.86E-10,0.77977236
654,290,406,7,15,0.028514633,0.953150584,0.008258132,0.009617986,0.000563,0.995174538,-837.2460827,269.706969,3.32E-10,0.751536731
932,260,276,3,8,0.02297698,0.961496994,0.003983177,0.010770918,0.00055,0.994747366,-579.7439704,1.144297405,9.94E-10,0.85506058
552,275,360,7,16,0.019920248,0.95789942,0.012801796,0.009093916,0.000208,0.994273359,-696.4653966,117.4671509,3.40E-10,0.780934723
507,243,497,3,18,0.006923946,0.96721762,0.024151997,0.001005823,0.000394,0.999700297,-525.7502638,34.65289133,4.51E-10,0.794498392
677,298,274,6,10,0.018795916,0.959739069,0.012336809,0.00886879,0.000566,0.99157577,-824.6077667,462.1006972,4.48E-10,0.847892709
834,234,327,5,14,0.013748551,0.950438947,0.017999383,0.016927853,0.000551,0.994159609,-0.465165989,532.6835645,4.53E-10,0.808418787
724,268,446,4,11,0.010076771,0.96190112,0.006380597,0.021006316,0.000906,0.997739786,-325.4506474,598.4392578,3.71E-10,0.751254126
961,255,439,6,7,0.001708348,0.978539237,0.010554617,0.009074416,0.000464,0.996409897,-992.1822559,236.5814439,7.73E-10,0.830320814
719,217,292,4,11,0.027003083,0.951825813,0.004567497,0.015753255,0.000905,0.994674335,-494.2184504,65.56636144,4.40E-10,0.8187066
642,266,395,7,12,0.007362004,0.95804998,0.009642009,0.024246366,0.00064,0.998912977,-161.2749312,835.5474305,9.77E-10,0.816364966
893,235,379,6,14,0.003598795,0.971978227,0.014211293,0.009899887,0.000772,0.992180148,-729.147733,856.017226,9.02E-10,0.778276103
842,219,348,5,11,0.001548491,0.96643418,0.016553139,0.014920153,0.00048,0.999683505,-415.2969231,657.8312551,4.45E-10,0.807669613
890,212,320,6,9,0.017473613,0.966491096,0.008454799,0.007346943,0.000559,0.997602003,-791.7780442,226.6913935,2.47E-10,0.836080011
881,238,260,6,11,0.004136896,0.952054194,0.017628987,0.025990488,9.30E-05,0.997030895,-962.6239369,628.1746735,8.19E-10,0.839952557
853,281,475,7,10,0.017794906,0.960270879,0.019387763,0.001656319,0.000936,0.999026249,-675.5916454,335.8965352,3.78E-10,0.858352771
514,212,355,7,13,0.021432653,0.953948685,0.020619459,0.003292155,0.000344,0.99155406,-112.2274247,102.2116971,9.83E-10,0.832974788
977,247,450,3,9,0.012085072,0.958842928,0.002860397,0.026188401,2.90E-05,0.991475076,-940.7899576,284.984138,2.87E-10,0.843653083
975,241,354,7,9,0.009429388,0.979661328,0.004513665,0.005838603,0.000736,0.99092322,-32.25254851,477.5495608,7.78E-10,0.816423458
762,270,305,6,8,0.016329537,0.954546414,0.026047965,0.00282313,0.000565,0.996217081,-191.0946083,682.7239718,3.12E-10,0.860463146
857,239,484,4,13,0.00411745,0.950352954,0.007940163,0.037249061,0.000804,0.992619741,-847.2101804,605.4764588,3.66E-10,0.77306932
763,273,430,5,11,0.015929388,0.976587022,0.002589781,0.004134142,0.000141,0.995435748,-889.8691516,830.3808807,5.55E-10,0.873743187
702,299,288,6,17,0.022844717,0.951679744,0.019415667,0.005157896,0.000168,0.995990125,-940.4106479,580.1627826,8.05E-10,0.890908844
553,287,356,3,14,0.008113633,0.969183836,0.011413731,0.011051355,0.000707,0.990833749,-211.7544673,846.1633246,2.91E-10,0.921252561
771,289,329,5,14,0.027467024,0.952319752,0.00894044,0.010640882,0.000759,0.995001702,-87.0556781,676.6874956,4.47E-10,0.510778028
