Dataset Name, Population size, Max Generations, TS, Init_dept_low, Init_depth_high, crossover, subtree mutation, Hoist mutation, Point mutation, stopping criteria, max Samples, ConstRange_low, ConstRange_high, parsimony coeff, MeanACC, StdACC, MeanAUC, StdAUC, MeanPrecision, StdPrecision, MeanRecall, StdRecall, MeanF1Score, StdF1Score, depthSE1, depthSE2, depthSE3,  depthSE4, depthSE5, lengthSE1, lengthSE2, lengthSE3,  lengthSE4, lengthSE5
Normalizer + ADASYN_CLASS_2,774,239,299,4,14,0.004835156,0.961644147,0.017580999,0.015347464,0.000591,0.997627556,-479.4201576,904.5346627,1.21E-10,0.868928513,0.036934465,0.868616764,0.037456037,0.817099733,0.042602443,0.955459372,0.014279311,0.87981654,0.031382151,44,47,36,26,31,400,554,293,237,535
Normalizer +  BorderlineSMOTE_Class_2,595,289,358,7,13,0.015106553,0.957193362,0.023043391,0.003839132,0.000277,0.994085287,-575.2917363,2.416066146,8.93E-10,0.878174603,0.030555556,0.87635044,0.032680176,0.837875897,0.02874174,0.933332364,0.033356443,0.882497341,0.031145181,54,32,56,29,44,460,255,799,482,339
Normalizer + SMOTE_Class_2,787,262,475,4,18,0.002886515,0.9580781,0.031085785,0.007525616,0.000886,0.990108742,-545.3414043,549.9913107,2.68E-10,0.846031746,0.042857143,0.842803678,0.046490638,0.818597558,0.040899087,0.908423026,0.025237422,0.858202959,0.035447459,44,43,60,50,54,1083,310,1099,754,716
Normalizer + SVMSMOTE_Class_2,619,213,277,3,16,0.02939786,0.955875169,0.00976841,0.004116296,0.000966,0.992595799,-53.54036942,915.981098,8.84E-10,0.818301338,0.017237509,0.75460775,0.012899633,0.669860747,0.057845861,0.570334223,0.003951492,0.606464763,0.021413481,25,23,22,43,24,265,248,258,939,221
PowerTransformer + ADASYN_CLASS_2,770,293,493,6,9,0.010631527,0.970813438,0.00769556,0.010181201,0.000515,0.9906156,-917.3212393,509.9370161,1.56E-10,0.903830442,0.039445522,0.90255063,0.040694662,0.874744098,0.047822203,0.943662409,0.027471191,0.90711305,0.038815489,27,28,42,25,26,384,369,220,199,283
PowerTransformer +  BorderlineSMOTE_Class_2,877,256,269,6,18,0.005699988,0.953291865,0.01001422,0.030053362,0.000589,0.990482967,-181.7125637,687.6172522,7.72E-10,0.899206349,0.026190476,0.898853742,0.026956688,0.871544827,0.02946711,0.937627527,0.022570741,0.902557683,0.02597135,26,52,44,41,54,293,958,428,434,859
PowerTransformer + SMOTE_Class_2,627,253,314,4,8,0.015169055,0.954523907,0.00173572,0.027751013,0.000558,0.996630127,-374.7412537,789.6977427, 7.746489577628789e-100.9043650793650793,0.904365079,0.040873016,0.906727152,0.03837026,0.877941408,0.046156842,0.946440586,0.028445594,0.907334965,0.040359577,31,17,23,30,30,319,253,444,394,152
PowerTransformer + SVMSMOTE_Class_2,839,280,252,3,9,0.016242924,0.974168767,0.002426288,0.006641709,0.000788,0.995500875,-78.38720659,125.9935268,7.16E-10,0.911394169,0.060373761,0.909414941,0.064172793,0.867839229,0.077267502,0.908320435,0.072117749,0.88224679,0.079970367,28,81,31,73,30,239,1742,428,1931,217
RobustScaler + ADASYN_CLASS_2,931,208,459,6,8,0.012457849,0.961511731,0.019171513,0.006636315,0.000192,0.990099994,-665.7086076,170.7475145,7.79E-10,0.933333333,0.028571429,0.933470249,0.027761923,0.914588778,0.04027748,0.966444129,0.010686553,0.938066013,0.025905347,35,25,45,197,25,440,291,1276,4444,182
RobustScaler +  BorderlineSMOTE_Class_2,829,248,382,7,18,0.022712181,0.960869123,0.006456696,0.009576138,0.000508,0.990538808,-192.8452903,421.8512202,7.50E-10,0.942460317,0.044047619,0.941649245,0.044879752,0.917699547,0.058687008,0.976135827,0.022301673,0.944676713,0.042322335,30,47,34,37,78,349,1879,1190,181,4129
RobustScaler + SMOTE_Class_2,748,265,373,7,8,0.023427802,0.953686584,0.004157985,0.018465266,0.000317,0.996548914,-757.6422091,87.05867007,6.79E-10,0.920634921,0.041269841,0.922148379,0.038284811,0.898636316,0.051653494,0.966560078,0.017901075,0.927969185,0.037847086,39,112,37,26,37,1354,6275,469,226,170
RobustScaler + SVMSMOTE_Class_2,765,285,462,6,8,0.004136025,0.956880453,0.019511453,0.018952265,0.000399,0.992401994,-523.7295507,552.9760283,8.94E-10,0.886538462,0.040384615,0.876124962,0.048733667,0.860151175,0.044971789,0.837512762,0.074245925,0.847000279,0.060914881,29,24,31,31,32,264,179,191,204,123
StandardScaler + ADASYN_CLASS_2,629,285,354,7,16,0.001186242,0.956222221,0.007883466,0.033745773,0.000966,0.993161907,-555.261414,560.4633101,4.89E-10,0.896585659,0.037701891,0.898286302,0.035422075,0.865815606,0.039962156,0.946822918,0.02754949,0.901291437,0.036635773,26,32,27,32,41,303,163,297,203,242
StandardScaler +  BorderlineSMOTE_Class_2,693,298,448,6,13,0.010863642,0.955976528,0.021724662,0.010473987,0.000161,0.992817076,-120.9421536,649.8061784,3.29E-10,0.929761905,0.044047619,0.929370507,0.044494626,0.903653535,0.055824002,0.97393959,0.018158657,0.93515845,0.039803485,32,35,31,40,76,172,609,466,373,3236
StandardScaler + SMOTE_Class_2,611,284,499,6,8,0.00529719,0.970083545,0.003621384,0.020396934,0.000181,0.992520327,-446.6329439,4.102943259,1.18E-10,0.920238095,0.044047619,0.921657994,0.042472428,0.889470722,0.053344165,0.967901137,0.022672078,0.925227716,0.040555863,28,25,24,34,39,301,273,226,235,550
StandardScaler + SVMSMOTE_Class_2,869,284,344,7,9,0.002698393,0.967473634,0.026275065,0.002830133,0.000148,0.999097643,-685.8608594,738.1140847,3.49E-10,0.943475433,0.040680185,0.950926453,0.034760477,0.89776974,0.071978494,0.975796388,0.017224959,0.930879612,0.049914038,23,31,29,20,35,226,322,471,124,445
MaxAbsScaler + ADASYN_CLASS_3,665,203,436,5,12,0.011486872,0.954482914,0.016488048,0.017446312,0.000499,0.991043239,-322.3877832,620.6733691,7.49E-10,0.975,0.00625,0.974581084,0.007020338,0.972967341,0.009733731,0.977248289,0.003054741,0.974707189,0.006448509,22,30,14,33,27,227,501,111,259,665
MaxAbsScaler +  BorderlineSMOTE_Class_3,956,290,294,5,17,0.036103954,0.954673226,0.003033597,0.00537974,0.000743,0.997099372,-154.3317008,439.0847979,1.22E-10,0.974707049,0.024514741,0.976285008,0.022963112,0.960615344,0.037784656,0.988558559,0.011441441,0.973768988,0.0254278,46,39,24,39,46,683,734,150,810,607
MaxAbsScaler + SMOTE_Class_3,825,290,397,4,10,0.033045386,0.952115901,0.012222497,0.002221846,0.000956,0.994647605,-737.0963123,889.7935035,5.64E-10,0.9765625,0.0234375,0.976273148,0.023726852,0.961203498,0.038796502,0.996875,0.003125,0.977851544,0.022148456,40,27,15,39,31,597,593,246,606,343
MaxAbsScaler + SVMSMOTE_Class_3,896,272,433,6,7,0.011240556,0.976308526,0.00225149,0.0096843,0.000312,0.999620929,-44.52138499,588.7634089,6.07E-10,0.978396128,0.01955259,0.978087325,0.01972903,0.965174129,0.031840796,0.975674883,0.021508216,0.969197466,0.027880335,32,37,30,22,35,392,342,359,223,241
MinMaxScaler + ADASYN_CLASS_3,574,253,377,5,9,0.00325408,0.9660758,0.020122903,0.009635422,9.90E-05,0.992152086,-546.3213516,735.588577,3.51E-10,0.984510298,0.012394913,0.98460405,0.012232566,0.977643953,0.017873839,0.993420431,0.005017069,0.985091605,0.011875307,27,24,27,28,20,155,215,219,93,342
MinMaxScaler +  BorderlineSMOTE_Class_3,966,298,445,5,17,0.023988981,0.95811221,0.003726262,0.013764144,0.000371,0.991220312,-444.3668635,972.2091745,9.63E-10,0.984426117,0.009329963,0.98483525,0.008960011,0.978651895,0.010629308,0.990070491,0.008379122,0.984049084,0.00975786,38,65,32,28,24,186,855,538,157,341
